instance,seed,batch_size,cooling,epsilon,accept_percentage,initial_temperature,cost,feasible
input-150.tsp,4,4500,0.99,1e-05,0.92,133650.000976562,0.167101504,1
input-150.tsp,3,4500,0.99,1e-05,0.92,127488.000000000,33760.101966469,0
input-150.tsp,6,4500,0.99,1e-05,0.92,132128.000000000,0.166597763,1
input-150.tsp,2,4500,0.99,1e-05,0.92,131456.000000000,0.153151840,1
input-150.tsp,5,4500,0.99,1e-05,0.92,133120.000000000,0.172434751,1
input-150.tsp,1,4500,0.99,1e-05,0.92,135168.000000000,0.162341760,1
input-150.tsp,7,4500,0.99,1e-05,0.92,135168.000000000,0.173875973,1
input-150.tsp,0,4500,0.99,1e-05,0.92,131648.000000000,0.169427318,1
input-150.tsp,8,4500,0.99,1e-05,0.92,126972.000000000,0.144537457,1
input-150.tsp,10,4500,0.99,1e-05,0.92,129022.750000000,0.170932743,1
input-150.tsp,14,4500,0.99,1e-05,0.92,132096.000000000,0.166888311,1
input-150.tsp,12,4500,0.99,1e-05,0.92,126975.000000000,0.145554700,1
input-150.tsp,13,4500,0.99,1e-05,0.92,132096.000000000,0.161445494,1
input-150.tsp,15,4500,0.99,1e-05,0.92,132672.000000000,0.158225665,1
input-150.tsp,9,4500,0.99,1e-05,0.92,132704.000000000,0.165230271,1
input-150.tsp,11,4500,0.99,1e-05,0.92,137216.000000000,0.155699567,1
input-150.tsp,17,4500,0.99,1e-05,0.92,129024.000000000,0.153868603,1
input-150.tsp,19,4500,0.99,1e-05,0.92,128896.000000000,0.173317365,1
input-150.tsp,16,4500,0.99,1e-05,0.92,131982.910156250,0.161273947,1
input-150.tsp,18,4500,0.99,1e-05,0.92,132297.000000000,0.160846630,1
input-150.tsp,21,4500,0.99,1e-05,0.92,130816.000000000,0.162300304,1
input-150.tsp,23,4500,0.99,1e-05,0.92,137216.000000000,0.169378837,1
input-150.tsp,20,4500,0.99,1e-05,0.92,130497.919921875,0.146201274,1
input-150.tsp,22,4500,0.99,1e-05,0.92,131584.000000000,0.160785529,1
input-150.tsp,24,4500,0.99,1e-05,0.92,132608.000000000,0.177497791,1
input-150.tsp,25,4500,0.99,1e-05,0.92,131584.000000000,0.166189781,1
input-150.tsp,26,4500,0.99,1e-05,0.92,131052.000000000,0.163957709,1
input-150.tsp,27,4500,0.99,1e-05,0.92,135168.000000000,0.159576184,1
input-150.tsp,28,4500,0.99,1e-05,0.92,130592.000000000,0.165827257,1
input-150.tsp,29,4500,0.99,1e-05,0.92,133925.000000000,0.153134683,1
input-150.tsp,30,4500,0.99,1e-05,0.92,133376.000000000,0.167466551,1
input-150.tsp,31,4500,0.99,1e-05,0.92,130560.000000000,0.168271547,1
input-150.tsp,32,4500,0.99,1e-05,0.92,133120.000000000,0.165774245,1
input-150.tsp,35,4500,0.99,1e-05,0.92,131248.000000000,0.164525116,1
input-150.tsp,33,4500,0.99,1e-05,0.92,131697.000000000,0.164573672,1
input-150.tsp,34,4500,0.99,1e-05,0.92,130030.992187500,0.163711866,1
input-150.tsp,36,4500,0.99,1e-05,0.92,131632.000000000,0.169491788,1
input-150.tsp,38,4500,0.99,1e-05,0.92,135168.000000000,0.143888636,1
input-150.tsp,37,4500,0.99,1e-05,0.92,131841.003906250,0.162967124,1
input-150.tsp,39,4500,0.99,1e-05,0.92,136192.000488281,0.153518537,1
input-150.tsp,40,4500,0.99,1e-05,0.92,132096.000000000,0.158290178,1
input-150.tsp,42,4500,0.99,1e-05,0.92,131584.000000000,0.163370268,1
input-150.tsp,41,4500,0.99,1e-05,0.92,130256.000000000,0.146737744,1
input-150.tsp,43,4500,0.99,1e-05,0.92,130816.000000000,0.150647550,1
input-150.tsp,46,4500,0.99,1e-05,0.92,131787.285156250,0.160577014,1
input-150.tsp,45,4500,0.99,1e-05,0.92,130425.919921875,0.171454363,1
input-150.tsp,44,4500,0.99,1e-05,0.92,132864.000000000,0.165067379,1
input-150.tsp,47,4500,0.99,1e-05,0.92,132160.000000000,0.170025773,1
input-150.tsp,48,4500,0.99,1e-05,0.92,135168.000000000,0.161294971,1
input-150.tsp,49,4500,0.99,1e-05,0.92,128439.998046875,0.163119681,1
input-150.tsp,50,4500,0.99,1e-05,0.92,131604.000000000,0.170702085,1
input-150.tsp,51,4500,0.99,1e-05,0.92,128928.000000000,0.162828206,1
input-150.tsp,52,4500,0.99,1e-05,0.92,129536.000000000,33759.783701827,0
input-150.tsp,53,4500,0.99,1e-05,0.92,128510.000000000,0.165544913,1
input-150.tsp,55,4500,0.99,1e-05,0.92,133120.000000000,0.166096758,1
input-150.tsp,54,4500,0.99,1e-05,0.92,133632.000000000,0.163060850,1
input-150.tsp,56,4500,0.99,1e-05,0.92,131456.000000000,0.148602006,1
input-150.tsp,58,4500,0.99,1e-05,0.92,131969.000000000,0.153481495,1
input-150.tsp,57,4500,0.99,1e-05,0.92,135168.000000000,0.147210509,1
input-150.tsp,59,4500,0.99,1e-05,0.92,131744.000000000,0.159691998,1
input-150.tsp,60,4500,0.99,1e-05,0.92,130048.000000000,0.188680019,1
input-150.tsp,61,4500,0.99,1e-05,0.92,129920.000000000,0.168132654,1
input-150.tsp,63,4500,0.99,1e-05,0.92,135424.250000000,0.168399967,1
input-150.tsp,62,4500,0.99,1e-05,0.92,133154.187500000,0.165913219,1
input-150.tsp,66,4500,0.99,1e-05,0.92,131328.000000000,0.148103764,1
input-150.tsp,65,4500,0.99,1e-05,0.92,131425.500000000,0.174017197,1
input-150.tsp,64,4500,0.99,1e-05,0.92,131584.000000000,0.150374710,1
input-150.tsp,67,4500,0.99,1e-05,0.92,135200.000000000,0.166574510,1
input-150.tsp,68,4500,0.99,1e-05,0.92,132228.000000000,0.153845208,1
input-150.tsp,69,4500,0.99,1e-05,0.92,133120.000000000,0.165337367,1
input-150.tsp,70,4500,0.99,1e-05,0.92,130727.146484375,0.163760842,1
input-150.tsp,71,4500,0.99,1e-05,0.92,133136.000488281,0.162622769,1
