instance,seed,batch_size,cooling,epsilon,accept_percentage,initial_temperature,cost,feasible
input-150.tsp,0,4000,0.99,0.0001,0.9,120283.984375000,0.159498903,1
input-150.tsp,1,4000,0.99,0.0001,0.9,122368.000000000,0.143698847,1
input-150.tsp,2,4000,0.99,0.0001,0.9,121600.000000000,0.174037101,1
input-150.tsp,3,4000,0.99,0.0001,0.9,122368.000000000,0.163579597,1
input-150.tsp,4,4000,0.99,0.0001,0.9,121584.320800781,33759.800422323,0
input-150.tsp,5,4000,0.99,0.0001,0.9,122393.205566406,0.155540895,1
input-150.tsp,6,4000,0.99,0.0001,0.9,121553.562500000,0.165465274,1
input-150.tsp,7,4000,0.99,0.0001,0.9,121456.000000000,0.161794326,1
input-150.tsp,8,4000,0.99,0.0001,0.9,122696.000000000,0.150483655,1
input-150.tsp,9,4000,0.99,0.0001,0.9,122596.031250000,0.167391530,1
input-150.tsp,10,4000,0.99,0.0001,0.9,124994.020019531,0.154774100,1
input-150.tsp,11,4000,0.99,0.0001,0.9,123520.000000000,0.173647979,1
input-150.tsp,12,4000,0.99,0.0001,0.9,122880.000000000,0.161809625,1
input-150.tsp,13,4000,0.99,0.0001,0.9,122186.875000000,0.171066723,1
input-150.tsp,14,4000,0.99,0.0001,0.9,122716.000000000,0.156278644,1
input-150.tsp,15,4000,0.99,0.0001,0.9,121352.000000000,0.154692369,1
input-150.tsp,16,4000,0.99,0.0001,0.9,118652.000000000,0.167071373,1
input-150.tsp,17,4000,0.99,0.0001,0.9,126976.000000000,0.150989658,1
input-150.tsp,18,4000,0.99,0.0001,0.9,122368.000000000,0.173009937,1
input-150.tsp,19,4000,0.99,0.0001,0.9,122880.000000000,0.162770192,1
input-150.tsp,20,4000,0.99,0.0001,0.9,120832.000000000,0.148010320,1
input-150.tsp,21,4000,0.99,0.0001,0.9,121132.000000000,0.164835568,1
input-150.tsp,22,4000,0.99,0.0001,0.9,125952.500000000,0.152110018,1
input-150.tsp,23,4000,0.99,0.0001,0.9,123648.000000000,0.169149178,1
input-150.tsp,24,4000,0.99,0.0001,0.9,122880.000000000,0.170249980,1
input-150.tsp,25,4000,0.99,0.0001,0.9,123106.093750000,0.162580273,1
input-150.tsp,26,4000,0.99,0.0001,0.9,118784.000000000,0.163466228,1
input-150.tsp,27,4000,0.99,0.0001,0.9,118784.000000000,0.163105236,1
input-150.tsp,28,4000,0.99,0.0001,0.9,118655.999511719,0.161218258,1
input-150.tsp,29,4000,0.99,0.0001,0.9,123392.000000000,0.156542771,1
input-150.tsp,30,4000,0.99,0.0001,0.9,118767.996093750,0.153745282,1
25
