instance,seed,batch_size,cooling,epsilon,accept_percentage,initial_temperature,cost,feasible
input-150.tsp,6,4500,0.98,0.0001,0.92,132128.000000000,0.165692566,1
input-150.tsp,7,4500,0.98,0.0001,0.92,135168.000000000,0.164054241,1
input-150.tsp,2,4500,0.98,0.0001,0.92,131456.000000000,0.157299725,1
input-150.tsp,8,4500,0.98,0.0001,0.92,126972.000000000,0.171386881,1
input-150.tsp,1,4500,0.98,0.0001,0.92,135168.000000000,0.170977961,1
input-150.tsp,5,4500,0.98,0.0001,0.92,133120.000000000,0.182710377,1
input-150.tsp,4,4500,0.98,0.0001,0.92,133650.000976562,0.163449808,1
input-150.tsp,3,4500,0.98,0.0001,0.92,127488.000000000,0.174416159,1
input-150.tsp,9,4500,0.98,0.0001,0.92,132704.000000000,0.164829354,1
input-150.tsp,12,4500,0.98,0.0001,0.92,126975.000000000,0.159053650,1
input-150.tsp,10,4500,0.98,0.0001,0.92,129022.750000000,33759.788975791,0
input-150.tsp,13,4500,0.98,0.0001,0.92,132096.000000000,0.174818313,1
input-150.tsp,11,4500,0.98,0.0001,0.92,137216.000000000,0.165523291,1
input-150.tsp,15,4500,0.98,0.0001,0.92,132672.000000000,34352.337797868,0
input-150.tsp,14,4500,0.98,0.0001,0.92,132096.000000000,0.164957187,1
input-150.tsp,16,4500,0.98,0.0001,0.92,131982.910156250,0.154360158,1
input-150.tsp,17,4500,0.98,0.0001,0.92,129024.000000000,0.160824109,1
input-150.tsp,20,4500,0.98,0.0001,0.92,130497.919921875,0.159346752,1
input-150.tsp,19,4500,0.98,0.0001,0.92,128896.000000000,33759.795088082,0
input-150.tsp,18,4500,0.98,0.0001,0.92,132297.000000000,0.178169112,1
input-150.tsp,23,4500,0.98,0.0001,0.92,137216.000000000,0.155563023,1
input-150.tsp,24,4500,0.98,0.0001,0.92,132608.000000000,0.176221207,1
input-150.tsp,21,4500,0.98,0.0001,0.92,130816.000000000,0.170917407,1
