instance,seed,batch_size,cooling,epsilon,accept_percentage,initial_temperature,cost,feasible
input-40.tsp,1,2000,0.95,0.0001,0.9,343960.000000000,0.311368831,1
input-40.tsp,2,2000,0.95,0.0001,0.9,351360.000000000,0.291105640,1
input-40.tsp,3,2000,0.95,0.0001,0.9,370688.000488281,0.308742386,1
input-40.tsp,4,2000,0.95,0.0001,0.9,353327.135253906,0.294825226,1
input-40.tsp,5,2000,0.95,0.0001,0.9,352063.015625000,0.272239303,1
input-40.tsp,6,2000,0.95,0.0001,0.9,348160.000000000,0.280056715,1
input-40.tsp,7,2000,0.95,0.0001,0.9,360448.000000000,0.287602436,1
input-40.tsp,8,2000,0.95,0.0001,0.9,361472.078613281,0.298699699,1
input-40.tsp,9,2000,0.95,0.0001,0.9,351389.000000000,0.297014354,1
input-40.tsp,10,2000,0.95,0.0001,0.9,352418.017089844,0.278133047,1
input-40.tsp,11,2000,0.95,0.0001,0.9,347648.000000000,0.296824017,1
input-40.tsp,12,2000,0.95,0.0001,0.9,350624.000000000,0.288870355,1
input-40.tsp,13,2000,0.95,0.0001,0.9,340864.000000000,0.284995541,1
input-40.tsp,14,2000,0.95,0.0001,0.9,349969.437988281,0.295733998,1
input-40.tsp,15,2000,0.95,0.0001,0.9,360448.000000000,0.310662163,1
input-40.tsp,16,2000,0.95,0.0001,0.9,360576.031738281,0.281357670,1
input-40.tsp,17,2000,0.95,0.0001,0.9,341407.857910156,0.276281061,1
input-40.tsp,18,2000,0.95,0.0001,0.9,354692.171875000,0.283893636,1
input-40.tsp,19,2000,0.95,0.0001,0.9,339711.999511719,0.295925512,1
input-40.tsp,20,2000,0.95,0.0001,0.9,361472.000000000,0.293529107,1
input-40.tsp,21,2000,0.95,0.0001,0.9,347460.750000000,0.295687770,1
input-40.tsp,22,2000,0.95,0.0001,0.9,352294.689453125,0.308452435,1
input-40.tsp,23,2000,0.95,0.0001,0.9,343133.971191406,0.298934495,1
input-40.tsp,24,2000,0.95,0.0001,0.9,338176.000000000,0.297803237,1
input-40.tsp,25,2000,0.95,0.0001,0.9,343960.000000000,0.268294940,1
input-40.tsp,26,2000,0.95,0.0001,0.9,352932.391113281,0.302434843,1
input-40.tsp,27,2000,0.95,0.0001,0.9,347967.140625000,0.311526168,1
input-40.tsp,28,2000,0.95,0.0001,0.9,358400.752441406,0.281783729,1
input-40.tsp,29,2000,0.95,0.0001,0.9,352792.258300781,0.325002671,1
input-40.tsp,30,2000,0.95,0.0001,0.9,370688.000488281,0.293573033,1
input-40.tsp,31,2000,0.95,0.0001,0.9,352768.000000000,0.303899533,1
input-40.tsp,32,2000,0.95,0.0001,0.9,344064.000000000,0.286694062,1
input-40.tsp,33,2000,0.95,0.0001,0.9,341996.000000000,0.271301024,1
input-40.tsp,34,2000,0.95,0.0001,0.9,348160.000000000,0.269978292,1
input-40.tsp,35,2000,0.95,0.0001,0.9,327679.874511719,0.289698686,1
input-40.tsp,36,2000,0.95,0.0001,0.9,340891.375000000,0.272096709,1
input-40.tsp,37,2000,0.95,0.0001,0.9,360512.000000000,0.306068983,1
input-40.tsp,38,2000,0.95,0.0001,0.9,343916.000000000,0.292060447,1
input-40.tsp,39,2000,0.95,0.0001,0.9,352256.000000000,0.322477366,1
input-40.tsp,40,2000,0.95,0.0001,0.9,350208.000000000,0.288770993,1
input-40.tsp,41,2000,0.95,0.0001,0.9,352256.000000000,0.292889054,1
input-40.tsp,42,2000,0.95,0.0001,0.9,339968.000000000,0.302007081,1
input-40.tsp,43,2000,0.95,0.0001,0.9,360704.000000000,0.301099171,1
input-40.tsp,44,2000,0.95,0.0001,0.9,364551.252441406,0.276941240,1
input-40.tsp,45,2000,0.95,0.0001,0.9,361345.062500000,0.275656701,1
input-40.tsp,46,2000,0.95,0.0001,0.9,352256.000000000,0.300773024,1
input-40.tsp,47,2000,0.95,0.0001,0.9,352256.000000000,0.299311191,1
input-40.tsp,48,2000,0.95,0.0001,0.9,350345.135253906,0.297745402,1
input-40.tsp,49,2000,0.95,0.0001,0.9,327680.000000000,0.307128544,1
input-40.tsp,50,2000,0.95,0.0001,0.9,360448.000000000,0.277458951,1
input-40.tsp,51,2000,0.95,0.0001,0.9,335616.000000000,0.300741980,1
input-40.tsp,52,2000,0.95,0.0001,0.9,348160.000000000,0.299587687,1
input-40.tsp,53,2000,0.95,0.0001,0.9,345620.562011719,0.302530974,1
input-40.tsp,54,2000,0.95,0.0001,0.9,350322.125000000,0.307391387,1
input-40.tsp,55,2000,0.95,0.0001,0.9,360449.000000000,0.284640511,1
input-40.tsp,56,2000,0.95,0.0001,0.9,339935.464355469,0.298857330,1
input-40.tsp,57,2000,0.95,0.0001,0.9,342068.562011719,0.280124299,1
input-40.tsp,58,2000,0.95,0.0001,0.9,360480.127441406,0.312662027,1
input-40.tsp,59,2000,0.95,0.0001,0.9,327679.999511719,0.290555139,1
input-40.tsp,60,2000,0.95,0.0001,0.9,342009.687011719,0.281483449,1
input-40.tsp,61,2000,0.95,0.0001,0.9,344064.000000000,0.270138437,1
input-40.tsp,62,2000,0.95,0.0001,0.9,341848.000000000,0.300923867,1
input-40.tsp,63,2000,0.95,0.0001,0.9,343036.000000000,0.282569579,1
input-40.tsp,64,2000,0.95,0.0001,0.9,344064.000000000,0.305789443,1
input-40.tsp,65,2000,0.95,0.0001,0.9,350848.000000000,0.288953744,1
input-40.tsp,66,2000,0.95,0.0001,0.9,360448.000000000,0.306872119,1
input-40.tsp,67,2000,0.95,0.0001,0.9,344064.000000000,0.268910370,1
input-40.tsp,68,2000,0.95,0.0001,0.9,350482.250000000,0.295329481,1
input-40.tsp,69,2000,0.95,0.0001,0.9,348820.500000000,0.292786272,1
input-40.tsp,70,2000,0.95,0.0001,0.9,335840.000000000,0.276884456,1
input-40.tsp,71,2000,0.95,0.0001,0.9,343980.000000000,0.293536950,1
input-40.tsp,72,2000,0.95,0.0001,0.9,339904.000000000,0.269142160,1
input-40.tsp,73,2000,0.95,0.0001,0.9,344064.000000000,0.276609671,1
input-40.tsp,74,2000,0.95,0.0001,0.9,354304.000000000,0.317045720,1
input-40.tsp,75,2000,0.95,0.0001,0.9,352064.000000000,0.301443118,1
input-40.tsp,76,2000,0.95,0.0001,0.9,349489.000976562,0.281814342,1
input-40.tsp,77,2000,0.95,0.0001,0.9,339968.000000000,0.300103535,1
input-40.tsp,78,2000,0.95,0.0001,0.9,364544.000488281,0.302229240,1
input-40.tsp,79,2000,0.95,0.0001,0.9,344064.000000000,0.288513230,1
input-40.tsp,80,2000,0.95,0.0001,0.9,352928.000000000,0.303821684,1
input-40.tsp,81,2000,0.95,0.0001,0.9,350256.000000000,0.300436803,1
input-40.tsp,82,2000,0.95,0.0001,0.9,348808.000000000,0.270913055,1
input-40.tsp,83,2000,0.95,0.0001,0.9,350208.000000000,0.274314340,1
