instance,seed,batch_size,cooling,epsilon,accept_percentage,initial_temperature,cost,feasible
input-40.tsp,1,10000,0.95,0.0001,0.9,347136.000000000,0.265714996,1
input-40.tsp,2,10000,0.95,0.0001,0.9,344064.000000000,0.283587002,1
input-40.tsp,3,10000,0.95,0.0001,0.9,352899.218750000,0.289034293,1
input-40.tsp,4,10000,0.95,0.0001,0.9,344064.000000000,0.295837280,1
input-40.tsp,5,10000,0.95,0.0001,0.9,339455.999511719,0.295408206,1
input-40.tsp,6,10000,0.95,0.0001,0.9,344064.000000000,0.289159074,1
input-40.tsp,7,10000,0.95,0.0001,0.9,352256.000000000,0.281678055,1
input-40.tsp,8,10000,0.95,0.0001,0.9,344064.000000000,0.279899412,1
input-40.tsp,9,10000,0.95,0.0001,0.9,345920.000000000,0.300975111,1
input-40.tsp,10,10000,0.95,0.0001,0.9,351488.003906250,0.286995040,1
input-40.tsp,11,10000,0.95,0.0001,0.9,352256.000000000,0.291169771,1
input-40.tsp,12,10000,0.95,0.0001,0.9,348160.000000000,0.287007113,1
input-40.tsp,13,10000,0.95,0.0001,0.9,344064.000000000,0.298286951,1
input-40.tsp,14,10000,0.95,0.0001,0.9,351752.250000000,0.273449668,1
input-40.tsp,15,10000,0.95,0.0001,0.9,343663.500000000,0.287268201,1
input-40.tsp,16,10000,0.95,0.0001,0.9,344064.000000000,0.280072327,1
input-40.tsp,17,10000,0.95,0.0001,0.9,344064.000000000,0.303457330,1
input-40.tsp,18,10000,0.95,0.0001,0.9,343029.734375000,0.277917487,1
input-40.tsp,19,10000,0.95,0.0001,0.9,346112.000000000,0.294259057,1
input-40.tsp,20,10000,0.95,0.0001,0.9,350123.250000000,0.292144396,1
input-40.tsp,21,10000,0.95,0.0001,0.9,350336.000000000,0.299956739,1
input-40.tsp,22,10000,0.95,0.0001,0.9,344000.000000000,0.285442317,1
input-40.tsp,23,10000,0.95,0.0001,0.9,352256.000000000,0.281056995,1
input-40.tsp,24,10000,0.95,0.0001,0.9,350208.000000000,0.295827459,1
input-40.tsp,25,10000,0.95,0.0001,0.9,352256.000000000,0.286290260,1
input-40.tsp,26,10000,0.95,0.0001,0.9,356864.000000000,0.289882791,1
input-40.tsp,27,10000,0.95,0.0001,0.9,349312.000000000,0.294725968,1
input-40.tsp,28,10000,0.95,0.0001,0.9,348160.000000000,0.288097324,1
input-40.tsp,29,10000,0.95,0.0001,0.9,346802.000000000,0.293564299,1
input-40.tsp,30,10000,0.95,0.0001,0.9,346112.000000000,0.295007083,1
input-40.tsp,31,10000,0.95,0.0001,0.9,348160.000000000,0.272339788,1
input-40.tsp,32,10000,0.95,0.0001,0.9,344827.492187500,0.279543888,1
input-40.tsp,33,10000,0.95,0.0001,0.9,346112.000000000,0.299928923,1
input-40.tsp,34,10000,0.95,0.0001,0.9,352256.000000000,0.293647287,1
input-40.tsp,35,10000,0.95,0.0001,0.9,352256.000000000,0.272715472,1
input-40.tsp,36,10000,0.95,0.0001,0.9,352256.000000000,0.273105656,1
input-40.tsp,37,10000,0.95,0.0001,0.9,344064.000000000,0.270171583,1
input-40.tsp,38,10000,0.95,0.0001,0.9,349696.000000000,0.297426093,1
input-40.tsp,39,10000,0.95,0.0001,0.9,346062.000000000,0.304659581,1
input-40.tsp,40,10000,0.95,0.0001,0.9,344064.000000000,0.301758688,1
input-40.tsp,41,10000,0.95,0.0001,0.9,348677.000000000,0.297631555,1
input-40.tsp,42,10000,0.95,0.0001,0.9,352256.000000000,0.297211393,1
