instance,seed,batch_size,cooling,epsilon,accept_percentage,initial_temperature,cost,feasible
input-150.tsp,1,2000,0.95,0.0001,0.9,120576.000000000,33759.810531517,0
input-150.tsp,2,2000,0.95,0.0001,0.9,122880.000000000,0.159154645,1
input-150.tsp,3,2000,0.95,0.0001,0.9,122470.485839844,33759.805926356,0
input-150.tsp,4,2000,0.95,0.0001,0.9,122880.000000000,0.176037932,1
input-150.tsp,5,2000,0.95,0.0001,0.9,118653.671875000,0.167267508,1
input-150.tsp,6,2000,0.95,0.0001,0.9,124940.752441406,0.164293206,1
input-150.tsp,7,2000,0.95,0.0001,0.9,121922.500000000,0.155437452,1
input-150.tsp,8,2000,0.95,0.0001,0.9,119731.750000000,0.173077591,1
input-150.tsp,9,2000,0.95,0.0001,0.9,118784.000000000,0.167787517,1
input-150.tsp,10,2000,0.95,0.0001,0.9,118268.874511719,0.149786104,1
input-150.tsp,11,2000,0.95,0.0001,0.9,121344.000000000,0.167385320,1
input-150.tsp,12,2000,0.95,0.0001,0.9,121440.000000000,0.175778605,1
input-150.tsp,13,2000,0.95,0.0001,0.9,118239.937011719,0.169323284,1
input-150.tsp,14,2000,0.95,0.0001,0.9,126976.000000000,0.171074484,1
input-150.tsp,15,2000,0.95,0.0001,0.9,125192.312988281,0.166484070,1
input-150.tsp,16,2000,0.95,0.0001,0.9,131072.000488281,41081.392076451,0
input-150.tsp,17,2000,0.95,0.0001,0.9,118719.999511719,0.165640650,1
input-150.tsp,18,2000,0.95,0.0001,0.9,121020.000000000,41081.375646899,0
input-150.tsp,19,2000,0.95,0.0001,0.9,121906.000000000,0.163182373,1
input-150.tsp,20,2000,0.95,0.0001,0.9,121204.000000000,0.168951017,1
