accepted,cost
1000,3.11717e+06
2000,3.70311e+06
3000,3.41901e+06
4000,3.50357e+06
5000,3.97013e+06
6000,3.83523e+06
7000,3.67871e+06
8000,3.61562e+06
9000,3.40559e+06
10000,4.11848e+06
11000,3.47682e+06
12000,4.584e+06
13000,3.54886e+06
14000,3.2965e+06
15000,4.05561e+06
16000,3.52055e+06
17000,2.68622e+06
18000,3.46295e+06
19000,4.32974e+06
20000,3.27704e+06
21000,3.25942e+06
22000,4.14498e+06
23000,3.22874e+06
24000,4.58414e+06
25000,2.41831e+06
26000,3.18081e+06
27000,3.32203e+06
28000,4.60449e+06
29000,4.42754e+06
30000,4.1984e+06
31000,3.78626e+06
32000,3.63715e+06
33000,4.15095e+06
34000,3.57372e+06
35000,3.74079e+06
36000,3.86656e+06
37000,3.89646e+06
38000,4.09779e+06
39000,3.77053e+06
40000,3.20541e+06
41000,3.21424e+06
42000,3.04098e+06
43000,4.89899e+06
44000,3.32336e+06
45000,3.88209e+06
46000,3.26311e+06
47000,2.54731e+06
48000,3.6039e+06
49000,3.19159e+06
50000,2.50033e+06
51000,3.47694e+06
52000,3.2408e+06
53000,3.10293e+06
54000,3.70689e+06
55000,4.18577e+06
56000,4.02367e+06
57000,3.06356e+06
58000,3.92586e+06
59000,3.77911e+06
60000,3.15815e+06
61000,4.2423e+06
62000,3.0683e+06
63000,3.14626e+06
64000,3.79061e+06
65000,3.21238e+06
66000,2.75308e+06
67000,3.34726e+06
68000,3.43565e+06
69000,3.31332e+06
70000,3.52473e+06
71000,3.70474e+06
72000,3.80846e+06
73000,4.02956e+06
74000,3.17894e+06
75000,4.55237e+06
76000,3.52951e+06
77000,4.03996e+06
78000,4.00015e+06
79000,3.00488e+06
80000,3.85132e+06
81000,2.93634e+06
82000,3.83998e+06
83000,3.13939e+06
84000,3.59476e+06
85000,3.88289e+06
86000,3.65657e+06
87000,2.96411e+06
88000,2.81191e+06
89000,3.28578e+06
90000,3.05995e+06
91000,3.93708e+06
92000,2.91801e+06
93000,3.41024e+06
94000,3.95049e+06
95000,3.60681e+06
96000,3.05243e+06
97000,3.48016e+06
98000,4.1938e+06
99000,4.80426e+06
100000,4.32963e+06
101000,3.26842e+06
102000,4.00022e+06
103000,2.11105e+06
104000,3.35371e+06
105000,3.41418e+06
106000,3.05781e+06
107000,3.01284e+06
108000,2.99971e+06
109000,2.44901e+06
110000,3.41377e+06
111000,3.47951e+06
112000,3.59146e+06
113000,3.47201e+06
114000,4.15097e+06
115000,3.12874e+06
116000,2.85122e+06
117000,3.20597e+06
118000,3.24945e+06
119000,3.9503e+06
120000,3.64317e+06
121000,3.13817e+06
122000,3.90907e+06
123000,2.62094e+06
124000,2.7334e+06
125000,3.5633e+06
126000,2.7377e+06
127000,2.67895e+06
128000,3.34364e+06
129000,2.3733e+06
130000,3.09765e+06
131000,2.74962e+06
132000,3.19781e+06
133000,3.13515e+06
134000,3.12083e+06
135000,3.30942e+06
136000,4.0685e+06
137000,1.91367e+06
138000,3.26668e+06
139000,3.14613e+06
140000,4.53519e+06
141000,2.70156e+06
142000,3.5964e+06
143000,2.34585e+06
144000,4.11897e+06
145000,3.76647e+06
146000,3.1287e+06
147000,2.24023e+06
148000,3.54159e+06
149000,3.198e+06
150000,3.63612e+06
151000,3.89081e+06
152000,3.54758e+06
153000,3.00769e+06
154000,3.54224e+06
155000,2.59361e+06
156000,3.93676e+06
157000,3.76843e+06
158000,3.79112e+06
159000,3.0529e+06
160000,3.03659e+06
161000,4.18826e+06
162000,2.38036e+06
163000,3.36092e+06
164000,3.66906e+06
165000,3.75567e+06
166000,2.5165e+06
167000,3.4346e+06
168000,2.51363e+06
169000,3.64023e+06
170000,2.38587e+06
171000,3.0159e+06
172000,4.12879e+06
173000,2.88341e+06
174000,4.11324e+06
175000,2.7375e+06
176000,2.73251e+06
177000,3.6714e+06
178000,3.36218e+06
179000,3.76774e+06
180000,3.91385e+06
181000,3.59032e+06
182000,3.73755e+06
183000,3.47793e+06
184000,3.3028e+06
185000,3.16505e+06
